sce00020,sce:YCR005C,ff0000
sce00020,sce:YNR001C,ff1f00
sce00020,sce:YPR001W,ff3f00
sce00020,sce:YJL200C,ff5f00
sce00020,sce:YLR304C,ff7f00
sce00020,sce:YDL066W,ff9f00
sce00020,sce:YLR174W,ffbf00
sce00020,sce:YNL009W,ffdf00
sce00020,sce:YNL037C,ffff00
sce00020,sce:YOR136W,dfff00
sce00020,sce:YIL125W,bfff00
sce00020,sce:YDR148C,9fff00
sce00020,sce:YFL018C,7fff00
sce00020,sce:YPL017C,5fff00
sce00020,sce:YOR142W,3fff00
sce00020,sce:YGR244C,1fff00
sce00020,sce:YJL045W,00ff00
sce00020,sce:YKL148C,00ff1f
sce00020,sce:YLL041C,00ff3f
sce00020,sce:YKL141W,00ff5f
sce00020,sce:YMR118C,00ff7f
sce00020,sce:YDR178W,00ff9f
sce00020,sce:YLR164W,00ffbf
sce00020,sce:YPL262W,00ffdf
sce00020,sce:YDL078C,00ffff
sce00020,sce:YKL085W,00dfff
sce00020,sce:YOL126C,00bfff
sce00020,sce:YBR218C,009fff
sce00020,sce:YGL062W,007fff
sce00020,sce:YKR097W,005fff
sce00020,sce:YER178W,003fff
sce00020,sce:YBR221C,001fff
sce00020,sce:YNL071W,0000ff
sce00020,cpd:C00022,ff0000
sce00020,cpd:C00024,ff0000
sce00020,cpd:C00026,ff0000
sce00020,cpd:C00036,ff0000
sce00020,cpd:C00042,ff0000
sce00020,cpd:C00068,ff0000
sce00020,cpd:C00074,ff0000
sce00020,cpd:C00091,ff0000
sce00020,cpd:C00122,ff0000
sce00020,cpd:C00149,ff0000
sce00020,cpd:C00158,ff0000
sce00020,cpd:C00311,ff0000
sce00020,cpd:C00417,ff0000
sce00020,cpd:C05125,ff0000
sce00020,cpd:C05379,ff0000
sce00020,cpd:C05381,ff0000
sce00020,cpd:C15972,ff0000
sce00020,cpd:C15973,ff0000
sce00020,cpd:C16254,ff0000
